accession_number,isXBRL,cost_of_goods_sold,operating_expenses,operating_income,earnings_per_share_basic,earnings_per_share_diluted,pretax_income,net_income,income_taxes,interest_expense,revenue,sga_expenses,accounts_payable,accounts_receivable,current_liabilities,noncurrent_liabilities,property_plant_and_equipment_net,assets,noncurrent_assets,current_assets,short_term_investments,long_term_debt,cash_and_cash_equivalents,liabilities,inventory,cash_end_of_period,depreciation_and_amortization,net_cash_from_financing_activities,net_cash_from_operating_activities,net_cash_from_investing_activities,capital_expenditures,stockholders_equity,goodwill,gross_profit,accumulated_other_comprehensive_income
0001564590-18-002698,1,CostOfGoodsSoldOilAndGas,OperatingCostsAndExpenses,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,ProductionTaxExpense,InterestExpense,Revenues,GeneralAndAdministrativeExpense,TaxesPayableCurrent,AccountsReceivableNetCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,OtherLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireOilAndGasPropertyAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001564590-19-003671,1,,RevenueFromContractWithCustomerAndOtherOperatingRevenuesExcludingAssessedTax,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,ProductionTaxExpense,InterestExpense,Revenues,GeneralAndAdministrativeExpense,TaxesPayableCurrent,,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,OtherLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireOilAndGasPropertyAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001564590-20-005545,1,,RevenueFromContractWithCustomerAndOtherOperatingRevenuesExcludingAssessedTax,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,ProductionTaxExpense,InterestExpense,Revenues,GeneralAndAdministrativeExpense,TaxesPayableCurrent,,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,OtherLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireOilAndGasPropertyAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001628280-21-003531,1,,RevenueFromContractWithCustomerAndOtherOperatingRevenuesExcludingAssessedTax,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,ProductionTaxExpense,InterestExpense,Revenues,GeneralAndAdministrativeExpense,TaxesPayableCurrent,,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,OtherLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,DepreciationDepletionAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsToAcquireOilAndGasPropertyAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0000950123-12-002888,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,TaxesPayableCurrent,ReceivablesNetCurrent,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,RestrictedCashAndCashEquivalentsNoncurrent,AssetsCurrent,LongTermInvestments,LongTermInvestments,RestrictedCashAndCashEquivalentsNoncurrent,StockholdersEquity,AirlineRelatedInventoryNet,OtherNoncashIncomeTaxExpense,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0001193125-13-067179,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,TaxesPayableCurrent,ReceivablesNetCurrent,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,PropertyPlantAndEquipmentOwnedNet,Assets,RestrictedCashAndCashEquivalentsNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,RestrictedCashAndCashEquivalentsNoncurrent,StockholdersEquity,AirlineRelatedInventoryNet,OtherNoncashIncomeTaxExpense,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,
0000950123-11-014740,1,,SellingExpense,OtherNonoperatingIncomeExpense,,,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtNoncurrent,Cash,StockholdersEquity,AllowancesForObsolescenceOnInventories,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,,StockholdersEquity,,,
0001193125-12-063506,1,,SellingExpense,OtherNonoperatingIncomeExpense,,,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtNoncurrent,Cash,StockholdersEquity,AllowancesForObsolescenceOnInventories,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,,StockholdersEquity,,,
0000004515-13-000022,1,CostOfServicesCatering,SellingExpense,OtherNonoperatingIncomeExpense,,,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtNoncurrent,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,,StockholdersEquity,,,
0000006201-14-000004,1,,SellingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,SellingExpense,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,LiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,,StockholdersEquity,Goodwill,,
0001193125-15-061145,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueServicesNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,SaleLeasebackTransactionNetProceedsFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0001193125-16-474605,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentOther,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,SaleLeasebackTransactionNetProceedsFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0001193125-17-051216,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,SaleLeasebackTransactionNetProceedsFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000006201-18-000009,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,SalesRevenueNet,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,ShortTermInvestments,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeaseBackTransactions,StockholdersEquity,Goodwill,,
0000006201-19-000009,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,RevenueFromContractWithCustomerExcludingAssessedTax,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipmentAndSaleLeaseBackTransactions,StockholdersEquity,Goodwill,,
0000006201-20-000023,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,RevenueFromContractWithCustomerExcludingAssessedTax,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,SaleLeasebackTransactionNetProceedsInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000006201-21-000014,1,,SellingAndMarketingExpense,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,RestructuringAndOtherExpenseIncomeMainline,NonoperatingIncomeExpense,OtherCostAndExpenseOperating,RevenueFromContractWithCustomerExcludingAssessedTax,,AccountsPayableCurrent,ReceivablesNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,Assets,PrepaidExpenseAndOtherAssetsCurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtAndCapitalLeaseObligations,Cash,StockholdersEquity,AirlineRelatedInventoryNet,SpecialChargesNonCash,MainlineAndExpressDepreciationAndAmortization,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,PaymentsForProceedsFromOtherInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,Goodwill,,
0000004457-12-000023,1,CostOfGoodsSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,OtherInventorySupplies,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-14-000036,1,CostOfGoodsSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,DeferredTaxLiabilities,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-15-000019,1,CostOfGoodsSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,DeferredTaxLiabilities,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-16-000085,1,CostOfGoodsSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,DeferredIncomeTaxLiabilitiesNet,DeferredIncomeTaxLiabilitiesNet,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-17-000032,1,CostOfGoodsSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,DeferredIncomeTaxLiabilitiesNet,DeferredIncomeTaxLiabilitiesNet,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-18-000016,1,CostOfGoodsSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,DeferredIncomeTaxLiabilitiesNet,DeferredIncomeTaxLiabilitiesNet,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-19-000024,1,CostOfGoodsAndServicesSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,DeferredIncomeTaxLiabilitiesNet,DeferredIncomeTaxLiabilitiesNet,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-20-000053,1,CostOfGoodsAndServicesSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,,,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityCurrent,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0000004457-21-000040,1,CostOfGoodsAndServicesSold,OperatingLeasesIncomeStatementLeaseRevenue,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityCurrent,PropertyPlantAndEquipmentNet,Assets,Assets,,MarketableSecurities,DebtAndCapitalLeaseObligations,CashAndCashEquivalentsAtCarryingValue,LiabilitiesAndStockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,Depreciation,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,
0001193125-10-038294,1,CostOfGoodsSold,,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,OtherNonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,NotesPayableToBankCurrent,AccountsReceivableNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,Depreciation,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
0001193125-11-043658,1,CostOfGoodsSold,,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,ProfitLoss,OtherNonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,NotesPayableToBankCurrent,AccountsReceivableNetCurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,PaymentsToAcquireBusinessesNetOfCashAcquired,Depreciation,ProceedsFromPaymentsForOtherFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,,
